"","name","Address","price","lat","lon","distance","type","brand"
"25","Tankstelle","Stiegelen 1, Zufikon",1.93,47.3576319,8.3543611,1,"unlead98","Avia"
"26","Tankstelle","Edlibachstr. 40, Neuheim",1.93,47.1993489,8.5738715,1,"unlead98","Avia"
"27","Tankstelle","Poststr. 4, Burgdorf",1.93,47.06035325,7.62517941145529,1,"unlead98","Avia"
"28","Tankstelle","Klingentalstr. 12, Basel",1.93,47.563202,7.5929962,1,"unlead98","Avia"
"29","Pratteln","Netzibodenstr. 21, Pratteln",1.93,47.5309116,7.7002897,1,"unlead98","Avia"
"30","Zwingen","Baselstr. 31, Zwingen",1.93,47.4397714,7.5410373,1,"unlead98","Avia"
"31","Hirn","Gaiserstr. 151, Appenzell",1.93,47.3448122,9.4299095,1,"unlead98","Avia"
"32","Tankstelle","Dornacherstr. 109, Basel",1.93,47.543466,7.589293,1,"unlead98","Avia"
"33","Auto","Hauptstr. 131, Tägerwilen",1.93,47.6598776,9.1193173,1,"unlead98","Avia"
"34","Stabio","Via Gaggiolo 41, Stabio",1.93,45.841677,8.915371,1,"unlead98","Avia"
"35","Rheinfelden","Zürcherstr. 34, Rheinfelden",1.93,47.54235775,7.95040131827523,1,"unlead98","Avia"
"37","Tankstelle","Flughafenstr. 8, Kloten",1.93,47.4490443,8.563986,1,"unlead98","Avia"
"38","Tankstelle","Rue des Moulières 5, Satigny",1.93,46.2171639,6.0610393,1,"unlead98","Avia"
"39","Reinach","Duggingerstr. 24, Reinach",1.93,47.48543465,7.59553802876251,1,"unlead98","Avia"
"40","Muttenz","Marschalkenstr. 10, Muttenz",1.93,47.5302976,7.6500831,1,"unlead98","Avia"
"41","Tankstelle","St. Georgenstr. 44, St. Gallen",1.93,47.4192785,9.3799071,1,"unlead98","Avia"
"42","Gebr","Zugerstr. 12, Bremgarten",1.93,47.3479134,8.34739344999999,1,"unlead98","Avia"
"43","Pratteln","Hohenrainstr. 7, Pratteln",1.93,47.5259127,7.6916095,1,"unlead98","Avia"
"44","Tankstelle","Holeestr. 55, Basel",1.93,47.544814,7.5719998,1,"unlead98","Avia"
"45","Stein","Zürcherstr. 18, Stein",1.93,47.5426454,7.94865057851537,1,"unlead98","Avia"
"46","Tankstelle","Langgasse 51, St. Gallen",1.93,47.4377167,9.3885251,1,"unlead98","Avia"
"47","Auto","Sonnenwiesenstr.  17, Kreuzlingen",1.93,47.6443316,9.19436199474599,1,"unlead98","Avia"
"48","Tankstelle","Ziefenstr. 5, Reigoldswil",1.93,47.4115339,7.6934683,1,"unlead98","Avia"
"49","Shop","Alte Winterthurerstr. 11, Bülach",1.93,47.519628,8.5424495,1,"unlead98","Avia"
"50","Tankstelle","Gewerbestr. 7, Sissach",1.93,47.4673396,7.8030047,1,"unlead98","Avia"
"51","Tankstelle","Delsbergstr., Liesberg",1.93,47.3948833,7.4326633,1,"unlead98","Avia"
"52","DC","Deucherstr. 39, Weinfelden",1.93,47.5614438,9.1160597,1,"unlead98","Avia"
"53","Tankstelle","Badener-Landstr. 23, Rafz",1.93,47.6096356,8.5339367,1,"unlead98","Avia"
"54","Tankstelle","Hauptstr. 37, Sisseln",1.93,47.5530907,7.9919151,1,"unlead98","Avia"
"55","Tankstelle","Landstr. 121, Wettingen",1.93,47.4643175,8.3301802,1,"unlead98","Avia"
"56","Shop","Romanshornerstr. 115, Egnach",1.93,47.5447979,9.37469081163747,1,"unlead98","Avia"
"57","Bild","Zürcherstr. 431, St. Gallen",1.93,47.40703525,9.3096791995945,1,"unlead98","Avia"
"58","Tankstelle","Rheinfelderstr. 2, Birsfelden",1.93,47.5511782,7.6243274,1,"unlead98","Avia"
"59","Tankstelle","Bahnhofplatz 18, Einsiedeln",1.93,47.12823,8.74531723135977,1,"unlead98","Avia"
"60","Alfred","Hauptstr. 75b, Au",1.93,47.4311469,9.6345378,1,"unlead98","Avia"
"61","Tankstelle","Jonenstr. 32, Ottenbach",1.93,47.28681805,8.40126091464857,1,"unlead98","Avia"
"62","Tankstelle","Spitalweg 4, Lachen",1.93,47.1903632,8.8613275,1,"unlead98","Avia"
"63","Tankstelle","Hauptstrasse  68, Reinach",1.93,47.4899521,7.58951199214779,1,"unlead98","Avia"
"64","Seeblick","Landstr. 25, Altnau",1.93,47.6195042,9.2646975,1,"unlead98","Avia"
"65","Avia","Giornicostr. 1, Basel",1.93,47.5301995,7.6053558,1,"unlead98","Avia"
"66","Tankstelle","Hauptstr. 6, Ettingen",1.93,47.483169,7.5462002,1,"unlead98","Avia"
"67","Theiler","Bergstr. 24, Goldau",1.93,47.05312385,8.55036850417006,1,"unlead98","Avia"
"68","Tankstelle","Freiburgerstr. 65, Basel",1.93,47.5797252,7.6035610990575,1,"unlead98","Avia"
"69","Boots","Seestr. 36, Altendorf",1.93,47.19476185,8.82143315,1,"unlead98","Avia"
"70","Tankstelle","Zürcherstr. 2, Wangen",1.93,47.19141665,8.89537494447234,1,"unlead98","Avia"
"71","Hanselmann","Erlenstr. 2, Sennwald",1.93,47.2590984,9.501797,1,"unlead98","Avia"
"72","Zwingen","Baselstr. 16, Zwingen",1.93,47.4397714,7.5410373,1,"unlead98","Avia"
"73","Tankstelle","Schützengraben 23, Basel",1.93,47.5559707,7.581676,1,"unlead98","Avia"
"74","Boots","Seestr. 59-61, Bäch",1.93,47.3643531,8.5314106,1,"unlead98","Avia"
"75","Tankstelle","Alte Landstr. 48, Thalwil",1.93,47.2858716,8.57140310529737,1,"unlead98","Avia"
"77","Tankstelle","Route d Yverdon 9, Echallens",1.93,46.6440098,6.6363679,1,"unlead98","Avia"
"78","Tankstelle","Hauptstr. 1, Mitlödi",1.93,47.0082492,9.07834259541155,1,"unlead98","Avia"
"79","Hanspeter","Furtstr. 88, Brunnadern",1.93,47.3290073,9.1371129,1,"unlead98","Avia"
"80","Station","Bergsboden, Unterterzen",1.93,47.1148387,9.2651068,1,"unlead98","Avia"
"81","See","Rosengartenstr. 8, Unterterzen",1.93,47.1134812,9.25111942143314,1,"unlead98","Avia"
"82","Alpiger","Hauptstr. 8, Unterwasser",1.93,47.1977367,9.3130605,1,"unlead98","Avia"
"85","Shop","Ikarusstr. 2, St. Gallen",1.93,47.4040196,9.3045235,1,"unlead98","Avia"
"86","Lang","Seestr. 13, Kreuzlingen",1.93,47.65350955,9.17893329566971,1,"unlead98","Avia"
"87","Spar","Frauenfelderstr. 44, Winterthur",1.93,47.5063173,8.7568918,1,"unlead98","Avia"
"88","Tankstelle","Farlifangstr. 12, Zumikon",1.93,47.3361875,8.62043191298043,1,"unlead98","Avia"
